,Kilométrage,Année-Modèle,Marque,Modèle,Nombre de portes,Origine,Première main,carburant,puiFiscale,boiteVitesse,price
273,0 - 4 999,2008,Mercedes-Benz,Classe C,5,Dédouanée,Non,Diesel,8 CV,Automatique,158000.0
274,450 000 - 499 999,1992,Peugeot,405,5,Dédouanée,Non,Diesel,7 CV,Manuelle,35000.0
275,95 000 - 99 999,2017,Audi,A3,,Dédouanée,Oui,Diesel,--,Automatique,
276,20 000 - 24 999,2019,Mercedes-Benz,Classe A,5,Importée neuve,Oui,Diesel,--,Automatique,
277,200 000 - 249 999,2005,Toyota,Hilux,3,WW au Maroc,Non,Diesel,11 CV,Manuelle,93000.0
278,190 000 - 199 999,2008,Hyundai,Accent,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
279,80 000 - 84 999,2017,Ford,Focus,5,WW au Maroc,Oui,Diesel,--,Manuelle,135000.0
280,150 000 - 159 999,2011,Opel,Astra,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,100000.0
281,0 - 4 999,2008,Mercedes-Benz,Classe C,5,Dédouanée,Non,Diesel,8 CV,Automatique,158000.0
282,450 000 - 499 999,1992,Peugeot,405,5,Dédouanée,Non,Diesel,7 CV,Manuelle,35000.0
283,95 000 - 99 999,2017,Audi,A3,,Dédouanée,Oui,Diesel,--,Automatique,
284,20 000 - 24 999,2019,Mercedes-Benz,Classe A,5,Importée neuve,Oui,Diesel,--,Automatique,
285,200 000 - 249 999,2005,Toyota,Hilux,3,WW au Maroc,Non,Diesel,11 CV,Manuelle,93000.0
286,190 000 - 199 999,2008,Hyundai,Accent,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
287,80 000 - 84 999,2017,Ford,Focus,5,WW au Maroc,Oui,Diesel,--,Manuelle,135000.0
288,100 000 - 109 999,2016,Land Rover,Range Rover,5,WW au Maroc,,Diesel,12 CV,Automatique,550000.0
289,0 - 4 999,2021,Audi,RSQ3,5,Importée neuve,Oui,Essence,14 CV,Automatique,
290,100 000 - 109 999,2003,Renault,Laguna,5,,,Essence,--,--,28000.0
291,180 000 - 189 999,2007,Peugeot,Partner,,Dédouanée,Non,Diesel,7 CV,Manuelle,52000.0
292,190 000 - 199 999,2006,Mercedes-Benz,Classe B,5,Dédouanée,Non,Diesel,8 CV,Automatique,
293,190 000 - 199 999,2010,Kia,Picanto,,,,Essence,6 CV,--,55000.0
294,90 000 - 94 999,2017,Toyota,RAV 4,5,WW au Maroc,Oui,Diesel,9 CV,Automatique,
295,30 000 - 34 999,2020,Mercedes-Benz,Classe CLA,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,
296,170 000 - 179 999,2014,Mercedes-Benz,Classe C,5,WW au Maroc,Oui,Diesel,9 CV,Manuelle,186000.0
297,150 000 - 159 999,2017,Skoda,Octavia,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,179000.0
298,160 000 - 169 999,2017,Fiat,Doblo,5,,Oui,Diesel,5 CV,Manuelle,83000.0
299,35 000 - 39 999,2018,Audi,A1,5,WW au Maroc,Oui,Essence,11 CV,Automatique,
300,190 000 - 199 999,2014,Volkswagen,Passat,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,144000.0
301,120 000 - 129 999,2015,Ford,Focus,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,130000.0
302,95 000 - 99 999,2016,Volkswagen,Golf,5,,,Diesel,8 CV,Automatique,165000.0
303,200 000 - 249 999,2008,Toyota,Prado,3,WW au Maroc,Non,Diesel,11 CV,Manuelle,77000.0
304,160 000 - 169 999,2009,Mercedes-Benz,Classe GLA,5,Dédouanée,Non,Diesel,9 CV,Automatique,183000.0
305,30 000 - 34 999,2018,Opel,Corsa,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
306,0 - 4 999,2021,Toyota,Prado,5,Importée neuve,Oui,Essence,23 CV,Automatique,
307,70 000 - 74 999,2018,Mercedes-Benz,Classe GLC,5,Importée neuve,Oui,Diesel,9 CV,Automatique,
308,160 000 - 169 999,2006,Porsche,Cayenne,5,WW au Maroc,Non,Essence,26 CV,Automatique,75000.0
309,60 000 - 64 999,2016,Mercedes-Benz,Classe C,5,Importée neuve,,Diesel,--,Automatique,
310,250 000 - 299 999,2011,Volkswagen,Caddy,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,123000.0
311,200 000 - 249 999,2009,Mercedes-Benz,Classe C,5,Dédouanée,Non,Diesel,9 CV,Manuelle,140000.0
312,95 000 - 99 999,2014,Volkswagen,Jetta,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,135000.0
313,70 000 - 74 999,2016,Peugeot,208,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,122000.0
314,200 000 - 249 999,2015,Fiat,Doblo,5,WW au Maroc,Non,Diesel,5 CV,Manuelle,84000.0
315,190 000 - 199 999,2000,Nissan,PATROL,5,WW au Maroc,Non,Diesel,10 CV,Manuelle,34000.0
316,150 000 - 159 999,2015,Honda,CR-V,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,149000.0
317,100 000 - 109 999,2010,BMW,Serie 1,3,WW au Maroc,Non,Essence,17 CV,Manuelle,119000.0
318,130 000 - 139 999,2015,BMW,Serie 3,5,WW au Maroc,Non,Diesel,8 CV,Automatique,203000.0
319,55 000 - 59 999,2016,DS,DS 3,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,115000.0
320,150 000 - 159 999,2017,Skoda,Octavia,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,163000.0
321,200 000 - 249 999,2009,Hyundai,Santa Fe,5,WW au Maroc,Non,Diesel,9 CV,Automatique,98000.0
322,190 000 - 199 999,2000,Toyota,Land Cruiser,5,WW au Maroc,Non,Diesel,12 CV,Manuelle,57000.0
323,130 000 - 139 999,2014,Volvo,XC60,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,158000.0
324,65 000 - 69 999,2016,Porsche,Macan,5,WW au Maroc,Oui,Diesel,12 CV,Automatique,500000.0
325,110 000 - 119 999,2015,Volkswagen,Tiguan,5,WW au Maroc,Non,Diesel,8 CV,Automatique,229000.0
326,160 000 - 169 999,2008,Dacia,Logan,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,50000.0
327,130 000 - 139 999,2018,Volkswagen,Jetta,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,165000.0
328,160 000 - 169 999,2006,Dacia,Logan,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,56000.0
329,100 000 - 109 999,2010,Audi,A8,5,WW au Maroc,Oui,Essence,17 CV,Automatique,145000.0
330,190 000 - 199 999,2008,Toyota,Corolla,5,WW au Maroc,Non,Essence,8 CV,Manuelle,41000.0
331,190 000 - 199 999,2016,Renault,Clio,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,84000.0
332,10 000 - 14 999,2012,Autres,Autres,,,,Essence,7 CV,--,
333,140 000 - 149 999,2008,Dacia,Logan,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,55000.0
334,190 000 - 199 999,2012,Toyota,Hi Ace,5,WW au Maroc,Non,Diesel,12 CV,Manuelle,130000.0
335,130 000 - 139 999,2015,Citroen,Nemo,,,,Diesel,6 CV,--,
336,0 - 4 999,2021,Volkswagen,Golf,5,Importée neuve,Oui,Diesel,8 CV,Automatique,
337,130 000 - 139 999,2009,Volkswagen,Passat,,,,Diesel,8 CV,--,
338,70 000 - 74 999,2017,Mercedes-Benz,Classe E,5,Dédouanée,Oui,Diesel,8 CV,Automatique,
339,40 000 - 44 999,2019,Citroen,C-Elysée,5,,Oui,Diesel,6 CV,Manuelle,110000.0
340,55 000 - 59 999,2017,BMW,Serie 1,5,WW au Maroc,Oui,Diesel,7 CV,Automatique,
341,45 000 - 49 999,2014,Mercedes-Benz,Classe S,5,Importée neuve,Oui,Diesel,12 CV,Automatique,
342,90 000 - 94 999,2014,Seat,Leon,5,WW au Maroc,Oui,Diesel,6 CV,Automatique,
343,Plus de 500 000,1998,Volkswagen,LUPO,,,Non,Essence,9 CV,--,23000.0
344,40 000 - 44 999,2005,Fiat,TIPO,5,,Non,Essence,4 CV,Manuelle,
345,5 000 - 9 999,1992,Renault,19,5,Dédouanée,Oui,Diesel,7 CV,Manuelle,38000.0
346,140 000 - 149 999,2014,BMW,Serie 1,,,,Diesel,6 CV,--,185000.0
347,50 000 - 54 999,2017,Ford,Focus,5,,,Diesel,6 CV,Manuelle,143000.0
348,0 - 4 999,2010,Citroen,Berlingo,,,,Diesel,--,--,
349,200 000 - 249 999,2007,Renault,Megane,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,75000.0
0,200 000 - 249 999,2009,Peugeot,206,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,63000.0
1,85 000 - 89 999,2017,Audi,A3,5,WW au Maroc,Non,Diesel,8 CV,Automatique,240000.0
2,85 000 - 89 999,2017,Dacia,Dokker,,,,Diesel,6 CV,Manuelle,108000.0
3,35 000 - 39 999,2019,Citroen,C3,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,130000.0
4,300 000 - 349 999,2005,Ford,Fiesta,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,52000.0
5,180 000 - 189 999,2008,Ssangyong,Actyon,5,WW au Maroc,Oui,Diesel,8 CV,Manuelle,55000.0
6,400 000 - 449 999,2013,Renault,Kangoo,5,,Oui,Diesel,7 CV,Manuelle,62000.0
7,90 000 - 94 999,2017,Jeep,Grand Cherokee,5,WW au Maroc,Non,Diesel,12 CV,Automatique,
8,110 000 - 119 999,2013,Renault,Megane Coupe,3,,,Diesel,7 CV,--,128000.0
9,200 000 - 249 999,2008,Mercedes-Benz,220,5,WW au Maroc,Oui,Diesel,9 CV,Automatique,127000.0
10,80 000 - 84 999,2015,Mercedes-Benz,Classe S,5,Importée neuve,Oui,Diesel,12 CV,Automatique,
11,95 000 - 99 999,2016,Land Rover,Discovery Sport,5,WW au Maroc,Non,Diesel,9 CV,Automatique,270000.0
12,60 000 - 64 999,2015,Bentley,Continental gt coupé,5,Importée neuve,Oui,Essence,31 CV,Automatique,
13,25 000 - 29 999,2020,Audi,A3,5,Importée neuve,Oui,Diesel,8 CV,Automatique,400000.0
14,120 000 - 129 999,2014,Renault,Kangoo,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,110000.0
15,120 000 - 129 999,2002,Alfa Romeo,156,5,WW au Maroc,Non,Essence,11 CV,Manuelle,26000.0
16,95 000 - 99 999,2016,BMW,X3,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,260000.0
17,80 000 - 84 999,2016,Peugeot,208,5,WW au Maroc,,Diesel,6 CV,Manuelle,
18,75 000 - 79 999,2016,Mercedes-Benz,Classe CLA,5,WW au Maroc,Oui,Diesel,9 CV,Automatique,213000.0
19,100 000 - 109 999,2016,BMW,Serie 4,,,,Diesel,8 CV,--,279000.0
20,180 000 - 189 999,2012,Hyundai,ix 35,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,130000.0
21,50 000 - 54 999,2005,Citroen,Berlingo,5,Dédouanée,Non,Diesel,6 CV,Manuelle,47000.0
22,20 000 - 24 999,2016,Dacia,Logan,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
23,10 000 - 14 999,2018,Chevrolet,Camaro,3,Dédouanée,Oui,Essence,11 CV,Manuelle,
24,120 000 - 129 999,2010,Suzuki,Swift,5,WW au Maroc,Non,Essence,7 CV,Manuelle,59000.0
25,160 000 - 169 999,2016,Fiat,Doblo,5,,,Diesel,6 CV,Manuelle,
26,95 000 - 99 999,2018,Dacia,Sandero,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,110000.0
27,120 000 - 129 999,2013,Volkswagen,Caddy,5,Dédouanée,Non,Diesel,6 CV,Manuelle,150000.0
28,0 - 4 999,1990,Volkswagen,GOLF 2,5,Dédouanée,Non,Diesel,7 CV,Manuelle,
29,95 000 - 99 999,2014,Renault,Megane 3,5,WW au Maroc,Oui,Diesel,6 CV,Automatique,117000.0
30,0 - 4 999,2020,Renault,Talisman,5,WW au Maroc,Oui,Diesel,6 CV,Automatique,
31,25 000 - 29 999,2018,Dacia,Sandero,5,WW au Maroc,,Diesel,6 CV,Manuelle,120000.0
32,120 000 - 129 999,2015,Renault,Fluence,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,118000.0
33,10 000 - 14 999,2019,Audi,A6,,,,Electrique,10 CV,--,
34,160 000 - 169 999,2015,Ford,Focus,5,WW au Maroc,,Diesel,6 CV,Manuelle,
35,10 000 - 14 999,2019,Audi,A6,,,,Electrique,10 CV,--,
36,160 000 - 169 999,2015,Ford,Focus,5,WW au Maroc,,Diesel,6 CV,Manuelle,
37,160 000 - 169 999,2015,Kia,Sportage,5,WW au Maroc,Oui,Diesel,8 CV,Manuelle,142000.0
38,60 000 - 64 999,2018,Fiat,Panda,5,WW au Maroc,,Essence,5 CV,Manuelle,
39,130 000 - 139 999,2016,Volkswagen,Touran,5,Dédouanée,Oui,Diesel,8 CV,Automatique,
40,180 000 - 189 999,2017,Ford,Fusion,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,162000.0
41,95 000 - 99 999,2016,Porsche,Panamera,5,,Oui,Diesel,12 CV,Automatique,
42,170 000 - 179 999,2006,BMW,Serie 3,5,Importée neuve,,Essence,11 CV,Manuelle,72000.0
43,100 000 - 109 999,2015,Volkswagen,Tiguan,,Dédouanée,,Diesel,--,Manuelle,233000.0
44,170 000 - 179 999,2005,Citroen,C3,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,49000.0
45,200 000 - 249 999,1998,Seat,Toledo,5,WW au Maroc,Non,Essence,8 CV,Manuelle,41000.0
46,100 000 - 109 999,2014,Porsche,Panamera,5,Importée neuve,Oui,Diesel,12 CV,Automatique,
47,70 000 - 74 999,2018,Renault,Kangoo,,,,Diesel,6 CV,--,105000.0
48,95 000 - 99 999,2016,Peugeot,308,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,129000.0
49,80 000 - 84 999,2019,Peugeot,208,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,110000.0
50,170 000 - 179 999,2006,Dacia,Logan,5,WW au Maroc,Non,Essence,8 CV,Manuelle,40000.0
51,190 000 - 199 999,2010,Audi,A3,5,Dédouanée,,Diesel,8 CV,Automatique,
52,110 000 - 119 999,2014,Ford,Fiesta,5,Importée neuve,Oui,Diesel,6 CV,Manuelle,85000.0
53,95 000 - 99 999,2018,BMW,Serie 5,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,390000.0
54,15 000 - 19 999,2015,Mercedes-Benz,AMG GT,3,Importée neuve,Oui,Essence,23 CV,Automatique,
55,250 000 - 299 999,2000,Mercedes-Benz,250,5,Pas encore dédouanée,Non,Diesel,10 CV,Manuelle,75000.0
56,200 000 - 249 999,2004,Renault,Megane,,,,Essence,6 CV,--,42000.0
57,190 000 - 199 999,2004,Daihatsu,YRV,5,WW au Maroc,Non,Essence,7 CV,Manuelle,32000.0
58,200 000 - 249 999,2003,Mercedes-Benz,Classe A,5,Dédouanée,Non,Diesel,7 CV,Manuelle,49000.0
59,150 000 - 159 999,2010,Dacia,Duster,5,WW au Maroc,Non,Essence,9 CV,Manuelle,77000.0
60,60 000 - 64 999,2019,Renault,Kangoo,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,124000.0
61,120 000 - 129 999,2013,Fiat,Doblo,,,,Diesel,5 CV,--,75000.0
62,150 000 - 159 999,2014,Toyota,Land Cruiser,5,Importée neuve,,Diesel,19 CV,Automatique,550000.0
63,190 000 - 199 999,2004,Peugeot,206,,WW au Maroc,,Diesel,6 CV,Manuelle,52000.0
64,180 000 - 189 999,2019,Volkswagen,Tiguan,,,,Diesel,8 CV,--,200000.0
65,130 000 - 139 999,2007,Honda,CR-V,5,WW au Maroc,Oui,Essence,11 CV,Automatique,70000.0
66,110 000 - 119 999,2019,Citroen,C3,5,WW au Maroc,Oui,Diesel,7 CV,Manuelle,130000.0
67,70 000 - 74 999,2018,Ford,Fiesta,5,,Non,Diesel,6 CV,Manuelle,128000.0
68,100 000 - 109 999,2013,Fiat,500,3,WW au Maroc,Oui,Diesel,5 CV,Manuelle,80000.0
69,180 000 - 189 999,2009,Renault,Megane,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,72000.0
70,150 000 - 159 999,2013,Mercedes-Benz,220,5,WW au Maroc,Non,Diesel,9 CV,Automatique,
71,150 000 - 159 999,2010,Hyundai,Accent,5,WW au Maroc,Non,Essence,8 CV,Manuelle,55000.0
72,200 000 - 249 999,2003,Volkswagen,Polo,5,,,Essence,8 CV,Manuelle,42000.0
73,0 - 4 999,2004,Peugeot,206,5,WW au Maroc,Oui,Essence,6 CV,Manuelle,45000.0
74,30 000 - 34 999,2005,Citroen,C15,,,,Diesel,7 CV,Manuelle,45000.0
75,150 000 - 159 999,2000,Renault,Laguna,5,WW au Maroc,Non,Essence,10 CV,Manuelle,45000.0
76,90 000 - 94 999,2015,Audi,RS3,5,WW au Maroc,Oui,Essence,14 CV,Automatique,
77,10 000 - 14 999,2011,Chery,QQ,5,WW au Maroc,Non,Essence,4 CV,Manuelle,29000.0
78,180 000 - 189 999,2007,Volkswagen,Passat,5,WW au Maroc,,Diesel,8 CV,Manuelle,110000.0
79,110 000 - 119 999,2016,Jaguar,XF,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,
80,100 000 - 109 999,2015,Mercedes-Benz,Classe CLS,5,Importée neuve,Oui,Diesel,9 CV,Automatique,
81,160 000 - 169 999,2012,Fiat,Punto,,,,Diesel,5 CV,--,46000.0
82,100 000 - 109 999,2015,Porsche,Cayenne,5,Dédouanée,Oui,Diesel,12 CV,Automatique,
83,200 000 - 249 999,2005,Peugeot,206,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,58000.0
84,140 000 - 149 999,2013,Volkswagen,Tiguan,5,,Oui,Diesel,6 CV,Automatique,
105,40 000 - 44 999,2017,Hyundai,Grand i10,5,WW au Maroc,Oui,Essence,6 CV,Manuelle,
106,95 000 - 99 999,2018,Mercedes-Benz,Classe E,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,330000.0
107,85 000 - 89 999,2008,Chery,QQ,5,WW au Maroc,Non,Essence,6 CV,Manuelle,35000.0
108,160 000 - 169 999,2013,Peugeot,206+,5,,,Essence,6 CV,Manuelle,59000.0
109,190 000 - 199 999,2004,Mitsubishi,pajero,5,WW au Maroc,Non,Diesel,12 CV,Manuelle,55000.0
110,180 000 - 189 999,2005,Renault,Clio,5,WW au Maroc,Non,Essence,8 CV,Manuelle,46000.0
111,55 000 - 59 999,2019,Jeep,Wrangler,5,WW au Maroc,Oui,Diesel,12 CV,Automatique,350000.0
112,250 000 - 299 999,2013,Land Rover,Range Rover Evoque,5,WW au Maroc,Non,Diesel,9 CV,Automatique,
113,80 000 - 84 999,2017,Mercedes-Benz,Classe GLE,5,,Oui,Diesel,12 CV,Automatique,
114,75 000 - 79 999,2010,Dacia,Logan,5,WW au Maroc,Non,Essence,7 CV,Manuelle,
115,130 000 - 139 999,2014,Toyota,Auris,,,,Diesel,5 CV,--,102000.0
116,160 000 - 169 999,2011,Mercedes-Benz,220,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,143000.0
117,300 000 - 349 999,2012,Fiat,GRANDE PUNTO,5,WW au Maroc,Oui,Diesel,5 CV,Manuelle,72500.0
118,200 000 - 249 999,2004,Honda,Accord,5,WW au Maroc,Non,Essence,13 CV,Automatique,50000.0
119,350 000 - 399 999,1995,Peugeot,306,5,Dédouanée,Oui,Diesel,8 CV,Manuelle,31000.0
120,120 000 - 129 999,2015,Toyota,Corolla,5,WW au Maroc,Non,Diesel,5 CV,Manuelle,132000.0
121,35 000 - 39 999,2018,Volkswagen,Caddy,5,WW au Maroc,Oui,Diesel,8 CV,Manuelle,135000.0
122,170 000 - 179 999,2003,Citroen,XSARA,,,,Diesel,6 CV,--,
123,180 000 - 189 999,1988,Renault,R21,5,Dédouanée,Non,Diesel,7 CV,Manuelle,30000.0
124,250 000 - 299 999,2004,Peugeot,307,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,58000.0
125,110 000 - 119 999,2014,BMW,Serie 2 coupé,3,Importée neuve,,Diesel,--,Automatique,
126,110 000 - 119 999,2012,Ford,Focus,,,,Diesel,6 CV,--,
127,65 000 - 69 999,2017,Hyundai,Tucson,,,Oui,Diesel,7 CV,Automatique,223000.0
128,0 - 4 999,2019,Smart,ForTwo,3,Importée neuve,Oui,Essence,6 CV,Automatique,
129,250 000 - 299 999,2010,Toyota,VERSO,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,87000.0
130,40 000 - 44 999,2016,Peugeot,208,5,WW au Maroc,Oui,Essence,5 CV,Manuelle,85000.0
131,120 000 - 129 999,2016,Renault,Kadjar,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,165000.0
132,90 000 - 94 999,2015,Toyota,Corolla,,,,Diesel,--,--,
133,30 000 - 34 999,2019,Audi,A6,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,
134,190 000 - 199 999,2005,Kia,Sorento,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,67000.0
135,160 000 - 169 999,2011,BMW,Serie 5,5,WW au Maroc,,Diesel,8 CV,Automatique,163000.0
136,110 000 - 119 999,2017,Land Rover,Range Rover,5,WW au Maroc,Oui,Diesel,--,Automatique,480000.0
137,0 - 4 999,2021,Dacia,Sandero,5,Dédouanée,,Diesel,6 CV,--,
138,140 000 - 149 999,2016,Renault,Kangoo,5,,Oui,Diesel,6 CV,Manuelle,113000.0
139,35 000 - 39 999,2000,Mercedes-Benz,220,5,Dédouanée,Non,Diesel,9 CV,Manuelle,
140,140 000 - 149 999,2016,Renault,Kangoo,5,,Oui,Diesel,6 CV,Manuelle,113000.0
141,35 000 - 39 999,2000,Mercedes-Benz,220,5,Dédouanée,Non,Diesel,9 CV,Manuelle,
142,85 000 - 89 999,2016,Renault,Clio,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
143,120 000 - 129 999,2016,BMW,Serie 5,5,WW au Maroc,,Diesel,8 CV,Automatique,
144,190 000 - 199 999,2012,Ford,Kuga,5,WW au Maroc,Non,Diesel,8 CV,Automatique,123000.0
145,80 000 - 84 999,2017,Dacia,Logan,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,97000.0
146,200 000 - 249 999,2010,Honda,Accord,5,WW au Maroc,Non,Essence,13 CV,Automatique,75000.0
147,190 000 - 199 999,2012,Honda,Accord,5,,,Diesel,9 CV,Automatique,125000.0
148,100 000 - 109 999,2015,Hyundai,ix 35,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,163000.0
149,130 000 - 139 999,2015,BMW,Serie 4,,,,Diesel,8 CV,--,
150,200 000 - 249 999,2010,Volvo,S60,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,87000.0
151,140 000 - 149 999,2009,Kia,Proceed,3,WW au Maroc,Non,Diesel,8 CV,Manuelle,73000.0
152,75 000 - 79 999,2018,Peugeot,3008,,,,Diesel,8 CV,Automatique,235000.0
153,70 000 - 74 999,2018,Fiat,GRANDE PUNTO,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,92000.0
154,170 000 - 179 999,2013,BMW,Serie 5,5,WW au Maroc,Non,Diesel,8 CV,Automatique,200000.0
155,150 000 - 159 999,2012,Mercedes-Benz,Classe E,5,WW au Maroc,Non,Diesel,12 CV,Automatique,164000.0
156,0 - 4 999,2019,Renault,Clio,5,WW au Maroc,Oui,Diesel,6 CV,Automatique,150000.0
157,110 000 - 119 999,2007,BMW,Serie 7,5,Dédouanée,Non,Essence,20 CV,Automatique,120000.0
158,200 000 - 249 999,2004,Peugeot,307,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,58000.0
159,160 000 - 169 999,2014,Fiat,Panda,5,,,Essence,6 CV,Manuelle,60000.0
160,75 000 - 79 999,2018,Dacia,Duster,,WW au Maroc,Oui,Diesel,--,Manuelle,
161,85 000 - 89 999,2006,Chevrolet,Spark,5,WW au Maroc,Non,Essence,5 CV,Manuelle,35000.0
162,250 000 - 299 999,1991,Volkswagen,GOLF 2,,Dédouanée,,Diesel,6 CV,Manuelle,38000.0
163,100 000 - 109 999,2018,Hyundai,Tucson,,WW au Maroc,Oui,Diesel,--,Automatique,
164,5 000 - 9 999,2020,Toyota,Corolla,5,WW au Maroc,Oui,Hybride,10 CV,Automatique,235000.0
165,100 000 - 109 999,2018,Peugeot,301,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,99000.0
166,60 000 - 64 999,2018,Peugeot,308,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,156000.0
167,85 000 - 89 999,2018,Renault,Clio,,,,Diesel,6 CV,--,113000.0
168,170 000 - 179 999,2008,Ford,Fiesta,5,,,Diesel,6 CV,Manuelle,66000.0
169,180 000 - 189 999,2007,Renault,Kangoo,5,Dédouanée,Non,Diesel,6 CV,Manuelle,91000.0
170,30 000 - 34 999,1997,Fiat,Uno,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,22000.0
171,200 000 - 249 999,2008,Toyota,VERSO,5,WW au Maroc,Oui,Diesel,9 CV,Manuelle,78000.0
172,55 000 - 59 999,2017,Dacia,Sandero,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,112000.0
173,110 000 - 119 999,2013,Fiat,Doblo,,WW au Maroc,Oui,Diesel,6 CV,Manuelle,87000.0
174,180 000 - 189 999,2007,Peugeot,Partner,3,Dédouanée,Non,Diesel,7 CV,Manuelle,52000.0
175,0 - 4 999,1985,Mercedes-Benz,250,5,,Non,Diesel,9 CV,Manuelle,28000.0
176,160 000 - 169 999,2007,Ford,Focus,5,Dédouanée,Non,Diesel,6 CV,Manuelle,80000.0
177,190 000 - 199 999,2008,Mercedes-Benz,Classe C,5,Dédouanée,Oui,Diesel,8 CV,Automatique,137000.0
178,190 000 - 199 999,2002,Toyota,Land Cruiser,5,WW au Maroc,Non,Diesel,10 CV,Manuelle,29000.0
179,190 000 - 199 999,2016,Citroen,C-Elysée,5,WW au Maroc,Non,Essence,7 CV,Manuelle,67000.0
180,150 000 - 159 999,2011,Opel,Astra,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,100000.0
181,0 - 4 999,2008,Mercedes-Benz,Classe C,5,Dédouanée,Non,Diesel,8 CV,Automatique,158000.0
182,450 000 - 499 999,1992,Peugeot,405,5,Dédouanée,Non,Diesel,7 CV,Manuelle,35000.0
183,95 000 - 99 999,2017,Audi,A3,,Dédouanée,Oui,Diesel,--,Automatique,
184,85 000 - 89 999,2008,Daihatsu,Sirion,5,WW au Maroc,Oui,Essence,5 CV,Manuelle,48000.0
185,20 000 - 24 999,2019,Mercedes-Benz,Classe A,5,Importée neuve,Oui,Diesel,--,Automatique,
186,200 000 - 249 999,2005,Toyota,Hilux,3,WW au Maroc,Non,Diesel,11 CV,Manuelle,93000.0
187,190 000 - 199 999,2008,Hyundai,Accent,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
188,80 000 - 84 999,2017,Ford,Focus,5,WW au Maroc,Oui,Diesel,--,Manuelle,135000.0
189,100 000 - 109 999,2016,Land Rover,Range Rover,5,WW au Maroc,,Diesel,12 CV,Automatique,550000.0
190,0 - 4 999,2021,Audi,RSQ3,5,Importée neuve,Oui,Essence,14 CV,Automatique,
191,100 000 - 109 999,2003,Renault,Laguna,5,,,Essence,--,--,28000.0
192,180 000 - 189 999,2007,Peugeot,Partner,,Dédouanée,Non,Diesel,7 CV,Manuelle,52000.0
193,190 000 - 199 999,2006,Mercedes-Benz,Classe B,5,Dédouanée,Non,Diesel,8 CV,Automatique,
194,190 000 - 199 999,2010,Kia,Picanto,,,,Essence,6 CV,--,55000.0
